FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Accessoires fumeurs;1/11/2024;9;20,0%;28,40 €;23,66 €
Articles Divers Logista 20%;1/11/2024;5;20,0%;8,89 €;7,41 €
Bar 10%;1/11/2024;260;10,0%;405,50 €;368,45 €
Bar 20%;1/11/2024;179;20,0%;591,30 €;492,74 €
Boissons à emporter;1/11/2024;7;5,5%;17,50 €;16,59 €
Briquets;1/11/2024;3;20,0%;5,10 €;4,26 €
Chewing Gum;1/11/2024;4;20,0%;9,00 €;7,50 €
Confiserie 20%;1/11/2024;4;20,0%;6,80 €;5,66 €
Confiserie 5,5%;1/11/2024;2;5,5%;4,50 €;4,26 €
Jeux instantanés;1/11/2024;367;0,0%;1 599,00 €;1 599,00 €
Loto;1/11/2024;153;0,0%;1 013,10 €;1 013,10 €
MONETIQUE 0 %;1/11/2024;2;0,0%;60,00 €;60,00 €
Papier tubes et filtres;1/11/2024;33;20,0%;59,50 €;49,62 €
Tabac;1/11/2024;372;0,0%;4 915,45 €;4 915,45 €
Timbres poste;1/11/2024;2;0,0%;16,77 €;16,77 €
 paiement proximite;2/11/2024;1;0,0%;30,00 €;30,00 €
Accessoires fumeurs;2/11/2024;11;20,0%;30,80 €;25,66 €
Articles Divers Logista 20%;2/11/2024;4;20,0%;29,46 €;24,56 €
Bar 10%;2/11/2024;222;10,0%;347,40 €;315,68 €
Bar 20%;2/11/2024;155;20,0%;473,60 €;394,67 €
Boissons à emporter;2/11/2024;6;5,5%;15,00 €;14,22 €
Briquets;2/11/2024;4;20,0%;7,40 €;6,18 €
Chewing Gum;2/11/2024;2;20,0%;3,00 €;2,50 €
Confiserie 20%;2/11/2024;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;2/11/2024;9;5,5%;14,70 €;13,94 €
Jeux instantanés;2/11/2024;380;0,0%;1 738,00 €;1 738,00 €
Loto;2/11/2024;96;0,0%;1 151,20 €;1 151,20 €
MONETIQUE 0 %;2/11/2024;4;0,0%;100,00 €;100,00 €
Papier tubes et filtres;2/11/2024;75;20,0%;148,30 €;123,58 €
Tabac;2/11/2024;488;0,0%;6 494,60 €;6 494,60 €
Timbres poste;2/11/2024;6;0,0%;36,12 €;36,12 €
Bar 10%;3/11/2024;93;10,0%;137,20 €;124,71 €
Bar 20%;3/11/2024;60;20,0%;141,90 €;118,23 €
Boissons à emporter;3/11/2024;7;5,5%;16,50 €;15,64 €
Briquets;3/11/2024;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;3/11/2024;5;5,5%;7,40 €;7,02 €
Jeux instantanés;3/11/2024;158;0,0%;598,00 €;598,00 €
Loto;3/11/2024;31;0,0%;412,20 €;412,20 €
Papier tubes et filtres;3/11/2024;10;20,0%;16,60 €;13,83 €
Tabac;3/11/2024;150;0,0%;2 012,65 €;2 012,65 €
 paiement proximite;4/11/2024;1;0,0%;129,79 €;129,79 €
Accessoires fumeurs;4/11/2024;10;20,0%;25,40 €;21,14 €
Articles Divers Logista 20%;4/11/2024;18;20,0%;127,07 €;105,90 €
Bar 10%;4/11/2024;169;10,0%;318,70 €;289,59 €
Bar 20%;4/11/2024;144;20,0%;461,20 €;384,34 €
Boissons à emporter;4/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;4/11/2024;6;20,0%;10,80 €;9,01 €
Chewing Gum;4/11/2024;1;20,0%;2,00 €;1,67 €
Cigarettes Electroniques;4/11/2024;4;20,0%;19,20 €;16,00 €
Confiserie 20%;4/11/2024;1;20,0%;1,70 €;1,42 €
Jeux instantanés;4/11/2024;354;0,0%;1 694,00 €;1 694,00 €
Loto;4/11/2024;105;0,0%;1 520,40 €;1 520,40 €
MONETIQUE 0 %;4/11/2024;2;0,0%;40,00 €;40,00 €
Papier tubes et filtres;4/11/2024;56;20,0%;100,00 €;83,38 €
Tabac;4/11/2024;419;0,0%;5 517,35 €;5 517,35 €
TELEPHONIE 20.00 %;4/11/2024;3;20,0%;49,99 €;41,66 €
Timbres poste;4/11/2024;20;0,0%;25,80 €;25,80 €
Accessoires fumeurs;5/11/2024;21;20,0%;59,30 €;49,42 €
Articles Divers Logista 20%;5/11/2024;26;20,0%;230,67 €;192,27 €
Bar 10%;5/11/2024;161;10,0%;252,90 €;229,74 €
Bar 20%;5/11/2024;157;20,0%;417,00 €;347,52 €
Boissons à emporter;5/11/2024;7;5,5%;17,50 €;16,59 €
Briquets;5/11/2024;11;20,0%;20,80 €;17,37 €
Cigarettes Electroniques;5/11/2024;2;20,0%;9,60 €;8,00 €
Confiserie 20%;5/11/2024;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;5/11/2024;5;5,5%;9,10 €;8,62 €
Jeux instantanés;5/11/2024;312;0,0%;1 300,00 €;1 300,00 €
Loto;5/11/2024;106;0,0%;991,60 €;991,60 €
MONETIQUE 0 %;5/11/2024;2;0,0%;120,00 €;120,00 €
Papier tubes et filtres;5/11/2024;49;20,0%;96,10 €;80,11 €
Tabac;5/11/2024;377;0,0%;5 032,05 €;5 032,05 €
Timbres poste;5/11/2024;14;0,0%;32,25 €;32,25 €
 paiement proximite;6/11/2024;1;0,0%;82,65 €;82,65 €
